title,year,rating,votes,runtime,certificate,genre,gross_total,different_ratings,star_rating
"Three Billboards Outside Ebbing, Missouri",2017,8.1,"603,567",115,R,"Comedy, Crime, Drama",$162.73M,8.1R,4 stars
Trainspotting,1996,8.1,"766,474",93,R,"Crime, Drama",$16.99M,8.1R,4 stars
The Bridge on the River Kwai,1957,8.1,"247,890",161,PG,"Adventure, Drama, War",$27.20M,8.1PG,4 stars
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"1,039,009",130,PG-13,"Adventure, Family, Fantasy",$1342.94M,8.1PG-13,4 stars
Dead Poets Society,1989,8.1,"645,268",128,PG,"Comedy, Drama",$235.86M,8.1PG,4 stars
Hababam Sinifi: Sinifta Kaldi,1975,8.5,"30,134",95,Unrated,Comedy,$0.01M,8.5Unrated,4 stars
The Wild Robot,2024,8.2,"217,407",102,PG,"Animation, Adventure, Family",$334.54M,8.2PG,4 stars
Warrior,2011,8.1,"526,794",140,PG-13,"Action, Drama, Sport",$23.31M,8.1PG-13,4 stars
Fargo,1996,8.1,"783,492",98,R,"Crime, Drama, Thriller",$60.61M,8.1R,4 stars
Barry Lyndon,1975,8.1,"203,027",185,PG,"Adventure, Drama, War",$0.58M,8.1PG,4 stars
Raging Bull,1980,8.1,"408,711",129,R,"Biography, Drama, Sport",$23.41M,8.1R,4 stars
Ben-Hur,1959,8.1,"270,381",212,G,"Adventure, Drama",$74.44M,8.1G,4 stars
Million Dollar Baby,2005,8.1,"763,230",132,PG-13,"Drama, Sport",$216.76M,8.1PG-13,4 stars
Mad Max: Fury Road,2015,8.1,"1,200,736",120,R,"Action, Adventure, Sci-Fi",$380.46M,8.1R,4 stars
Bacheha-ye aseman,1999,8.2,"89,440",89,PG,"Drama, Family, Sport",$0.93M,8.2PG,4 stars
Hacksaw Ridge,2016,8.1,"674,696",139,R,"Biography, Drama, History",$180.56M,8.1R,4 stars
Tonari no Totoro,1990,8.1,"428,023",86,G,"Animation, Adventure, Comedy",$31.04M,8.1G,4 stars
Gran Torino,2009,8.1,"858,707",116,R,Drama,$269.96M,8.1R,4 stars
12 Years a Slave,2013,8.1,"783,533",134,R,"Biography, Drama, History",$187.73M,8.1R,4 stars
Ratatouille,2007,8.1,"935,027",111,G,"Animation, Adventure, Comedy",$623.74M,8.1G,4 stars
The Grand Budapest Hotel,2014,8.1,"963,687",99,R,"Comedy, Drama",$174.57M,8.1R,4 stars
Before Sunrise,1995,8.1,"374,563",101,R,"Comedy, Drama, Romance",$6.58M,8.1R,4 stars
Salinui chueok,2003,8.1,"263,135",131,Unrated,"Crime, Drama, Mystery",$1.21M,8.1Unrated,4 stars
Blade Runner,1982,8.1,"877,911",117,R,"Action, Drama, Sci-Fi",$41.80M,8.1R,4 stars
How to Train Your Dragon,2010,8.1,"887,580",98,PG,"Animation, Action, Adventure",$494.88M,8.1PG,4 stars
Spider-Man: No Way Home,2021,8.1,"1,007,947",148,PG-13,"Action, Adventure, Fantasy",$1921.43M,8.1PG-13,4 stars
Gone Girl,2014,8.1,"1,161,682",149,R,"Drama, Mystery, Thriller",$370.89M,8.1R,4 stars
"Monsters, Inc.",2001,8.1,"1,068,117",92,G,"Animation, Adventure, Comedy",$579.77M,8.1G,4 stars
Jaws,1975,8.1,"733,019",124,PG,"Adventure, Horror, Thriller",$490.74M,8.1PG,4 stars
In the Name of the Father,1994,8.1,"201,918",133,R,"Biography, Crime, Drama",$65.80M,8.1R,4 stars
Ford v Ferrari,2019,8.1,"565,191",152,PG-13,"Action, Biography, Drama",$226.30M,8.1PG-13,4 stars
Relatos salvajes,2014,8.1,"236,910",122,R,"Comedy, Drama, Thriller",$31.48M,8.1R,4 stars
The Gold Rush,1925,8.1,"127,706",95,Unrated,"Adventure, Comedy, Drama",$0.08M,8.1Unrated,4 stars
Sherlock Jr.,1924,8.1,"65,275",45,Unrated,"Action, Comedy, Romance",$0.00M,8.1Unrated,4 stars
Mary and Max.,2009,8.1,"201,032",92,Unrated,"Animation, Comedy, Drama",$1.74M,8.1Unrated,4 stars
The Deer Hunter,1979,8.1,"385,457",183,R,"Drama, War",$49.08M,8.1R,4 stars
Le salaire de la peur,1955,8.1,"73,155",156,Unrated,"Adventure, Drama, Thriller",$0.02M,8.1Unrated,4 stars
The General,1927,8.1,"105,801",78,Unrated,"Action, Adventure, Comedy",$0.00M,8.1Unrated,4 stars
Logan,2017,8.1,"920,531",137,R,"Action, Drama, Sci-Fi",$619.18M,8.1R,4 stars
Rocky,1976,8.1,"684,714",120,PG,"Drama, Sport",$117.25M,8.1PG,4 stars
Mr. Smith Goes to Washington,1939,8.1,"129,062",129,Unrated,"Comedy, Drama",$0.15M,8.1Unrated,4 stars
Tôkyô monogatari,1972,8.1,"77,208",137,Unrated,Drama,$0.09M,8.1Unrated,4 stars
On the Waterfront,1954,8.1,"177,149",108,Unrated,"Crime, Drama, Thriller",$0.00M,8.1Unrated,4 stars
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"1,316,491",143,PG-13,"Action, Adventure, Fantasy",$654.26M,8.1PG-13,4 stars
Smultronstället,1959,8.1,"124,052",92,Unrated,"Drama, Romance",$0.10M,8.1Unrated,4 stars
Spotlight,2015,8.1,"532,914",129,R,"Biography, Crime, Drama",$98.69M,8.1R,4 stars
Koe no katachi,2016,8.2,"138,542",130,Unrated,"Animation, Drama",$30.82M,8.2Unrated,4 stars
La haine,1996,8.1,"224,218",98,Unrated,"Crime, Drama",$0.76M,8.1Unrated,4 stars
The Terminator,1984,8.1,"998,811",107,R,"Action, Adventure, Sci-Fi",$78.37M,8.1R,4 stars
Maharaja,2024,8.3,"80,431",141,Unrated,"Action, Crime, Drama",$0.98M,8.3Unrated,4 stars
The Third Man,1950,8.1,"194,653",104,Unrated,"Drama, Film-Noir, Mystery",$1.43M,8.1Unrated,4 stars
The Sound of Music,1965,8.1,"289,886",174,G,"Biography, Drama, Family",$161.51M,8.1G,4 stars
Jai Bhim,2021,8.6,"233,427",164,Unrated,"Crime, Drama",$0.01M,8.6Unrated,4 stars
The Big Lebowski,1998,8.1,"913,539",117,R,"Comedy, Crime",$48.26M,8.1R,4 stars
The Best Years of Our Lives,1947,8.1,"77,141",170,Unrated,"Drama, Romance, War",$23.67M,8.1Unrated,4 stars
Det sjunde inseglet,1958,8.1,"215,189",96,Unrated,"Drama, Fantasy",$0.34M,8.1Unrated,4 stars
Before Sunset,2004,8.1,"313,141",80,R,"Drama, Romance",$16.51M,8.1R,4 stars
Room,2016,8.1,"478,524",118,R,"Drama, Thriller",$35.40M,8.1R,4 stars
Hotel Rwanda,2005,8.1,"390,915",121,PG-13,"Biography, Drama, History",$33.88M,8.1PG-13,4 stars
Gekijô-ban Chensô Man Reze-hen,2025,8.3,"49,117",100,R,"Animation, Action, Adventure",$163.06M,8.3R,4 stars
The Incredibles,2004,8.0,"894,329",115,PG,"Animation, Action, Adventure",$631.69M,8.0PG,4 stars
Platoon,1986,8.1,"470,820",120,R,"Drama, War",$138.55M,8.1R,4 stars
Hachi: A Dog&apos;s Tale,2010,8.1,"340,864",93,G,"Biography, Drama, Family",$46.75M,8.1G,4 stars
The Exorcist,1973,8.1,"496,255",122,R,Horror,$430.87M,8.1R,4 stars
Rush,2013,8.1,"556,044",123,R,"Biography, Drama, Sport",$93.33M,8.1R,4 stars
The Iron Giant,1999,8.1,"258,235",86,PG,"Animation, Action, Adventure",$23.34M,8.1PG,4 stars
The Wizard of Oz,1939,8.1,"465,566",102,G,"Adventure, Family, Fantasy",$25.64M,8.1G,4 stars
Stand by Me,1986,8.1,"484,400",89,R,"Adventure, Comedy, Drama",$53.53M,8.1R,4 stars
La passion de Jeanne d&apos;Arc,1928,8.1,"67,817",114,Unrated,"Biography, Drama, History",$0.02M,8.1Unrated,4 stars
Babam ve Oglum,2005,8.2,"100,337",112,Unrated,"Drama, Family",$18.61M,8.2Unrated,4 stars
La battaglia di Algeri,1967,8.1,"75,159",121,Unrated,"Drama, War",$0.96M,8.1Unrated,4 stars
Ah-ga-ssi,2017,8.1,"201,118",145,Unrated,"Drama, Romance, Thriller",$37.96M,8.1Unrated,4 stars
Network,1976,8.1,"185,436",121,R,Drama,$23.70M,8.1R,4 stars
Drishyam,2015,8.2,"107,875",163,Unrated,"Crime, Drama, Mystery",$0.01M,8.2Unrated,4 stars
The Grapes of Wrath,1940,8.1,"108,041",129,Unrated,Drama,$0.01M,8.1Unrated,4 stars
To Be or Not to Be,1942,8.1,"49,586",99,Unrated,"Comedy, Romance, War",$0.00M,8.1Unrated,4 stars
Gangs of Wasseypur,2012,8.2,"113,517",321,Unrated,"Action, Comedy, Crime",$4.38M,8.2Unrated,4 stars
Höstsonaten,1978,8.1,"41,972",99,PG,"Drama, Music",$0.04M,8.1PG,4 stars
